feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
Air_Temp,1.0,0.0195010960654209,0.005521306144554695,44,44
CO2e_lag4,1.0,0.10354483472842474,0.023103410591674103,44,44
GDP,0.6590909090909091,0.012078624048311672,0.005727295561616951,29,44
Q4,0.2727272727272727,0.0100671749951251,0.002360674005025091,12,44
COVID_Deaths,0.25,0.007131041812159106,0.012387809979996812,11,44
Q2,0.18181818181818182,0.009983867009495908,0.0025506442602044625,8,44
Rainfall,0.13636363636363635,0.008333386301219499,0.001617797802354383,6,44
COVID,0.06818181818181818,0.0018773725819105844,0.0033740096098757114,3,44
EnergyCrisis,0.045454545454545456,0.0005152637289523942,0.002203998748775836,2,44
