feature,dtype,n_unique,min,max,mean,missing_pct,category
GDP,int64,100,7827.0,10147.0,9281.18811881188,0.0,original
Population,int64,101,58836.0,69509.0,63745.0297029703,0.0,original
Air_Temp,float64,93,1.62,15.8,9.293663366336633,0.0,original
Rainfall,float64,99,141.4,539.9,295.30990099009904,0.0,original
TEC,float64,101,31679.98999999999,70923.94,51158.49504950495,0.0,original
CEI,float64,78,0.124,0.308,0.20990099009900992,0.0,original
COVID_Deaths,float64,16,0.0,60810.0,2263.6038613861383,0.0,original
CO2e_lag1,float64,101,86119.7,185503.5,136216.90495049505,0.0,lag
CO2e_lag2,float64,101,86119.7,185503.5,136511.94455445546,0.0,lag
CO2e_lag3,float64,101,86119.7,185503.5,137019.85247524755,0.0,lag
CO2e_lag4,float64,101,86119.7,185503.5,137726.2485148515,0.0,lag
CO2e_roll4_mean,float64,101,100923.575,163413.8,136868.73762376237,0.0,rolling
CO2e_roll4_std,float64,101,5454.9610071150055,21649.95600611387,14436.758046049312,0.0,rolling
CO2e_roll8_mean,float64,101,102825.9,162033.3875,137936.3584453088,0.0,rolling
CO2e_roll8_std,float64,101,7376.224144554445,19281.78237848947,13824.03431431556,0.0,rolling
Q2,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
Q3,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
Q4,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
COVID,int64,2,0.0,1.0,0.07920792079207921,0.0,shock
EnergyCrisis,int64,2,0.0,1.0,0.07920792079207921,0.0,shock
