fold_id,horizon,train_start,train_end,test_start,test_end,train_size,test_size
0,1,2000-01-01,2009-10-01,2010-01-01,2010-10-01,40,4
1,1,2000-01-01,2010-10-01,2011-01-01,2011-10-01,44,4
2,1,2000-01-01,2011-10-01,2012-01-01,2012-10-01,48,4
3,1,2000-01-01,2012-10-01,2013-01-01,2013-10-01,52,4
4,1,2000-01-01,2013-10-01,2014-01-01,2014-10-01,56,4
5,1,2000-01-01,2014-10-01,2015-01-01,2015-10-01,60,4
6,1,2000-01-01,2015-10-01,2016-01-01,2016-10-01,64,4
7,1,2000-01-01,2016-10-01,2017-01-01,2017-10-01,68,4
8,1,2000-01-01,2017-10-01,2018-01-01,2018-10-01,72,4
9,1,2000-01-01,2018-10-01,2019-01-01,2019-10-01,76,4
10,1,2000-01-01,2019-10-01,2020-01-01,2020-10-01,80,4
11,1,2000-01-01,2020-10-01,2021-01-01,2021-10-01,84,4
12,1,2000-01-01,2021-10-01,2022-01-01,2022-10-01,88,4
13,1,2000-01-01,2022-10-01,2023-01-01,2023-10-01,92,4
14,1,2000-01-01,2023-10-01,2024-01-01,2024-10-01,96,4
15,2,2000-01-01,2009-10-01,2010-04-01,2011-01-01,40,4
16,2,2000-01-01,2010-10-01,2011-04-01,2012-01-01,44,4
17,2,2000-01-01,2011-10-01,2012-04-01,2013-01-01,48,4
18,2,2000-01-01,2012-10-01,2013-04-01,2014-01-01,52,4
19,2,2000-01-01,2013-10-01,2014-04-01,2015-01-01,56,4
20,2,2000-01-01,2014-10-01,2015-04-01,2016-01-01,60,4
21,2,2000-01-01,2015-10-01,2016-04-01,2017-01-01,64,4
22,2,2000-01-01,2016-10-01,2017-04-01,2018-01-01,68,4
23,2,2000-01-01,2017-10-01,2018-04-01,2019-01-01,72,4
24,2,2000-01-01,2018-10-01,2019-04-01,2020-01-01,76,4
25,2,2000-01-01,2019-10-01,2020-04-01,2021-01-01,80,4
26,2,2000-01-01,2020-10-01,2021-04-01,2022-01-01,84,4
27,2,2000-01-01,2021-10-01,2022-04-01,2023-01-01,88,4
28,2,2000-01-01,2022-10-01,2023-04-01,2024-01-01,92,4
29,2,2000-01-01,2023-10-01,2024-04-01,2025-01-01,96,4
30,4,2000-01-01,2009-10-01,2010-10-01,2011-07-01,40,4
31,4,2000-01-01,2010-10-01,2011-10-01,2012-07-01,44,4
32,4,2000-01-01,2011-10-01,2012-10-01,2013-07-01,48,4
33,4,2000-01-01,2012-10-01,2013-10-01,2014-07-01,52,4
34,4,2000-01-01,2013-10-01,2014-10-01,2015-07-01,56,4
35,4,2000-01-01,2014-10-01,2015-10-01,2016-07-01,60,4
36,4,2000-01-01,2015-10-01,2016-10-01,2017-07-01,64,4
37,4,2000-01-01,2016-10-01,2017-10-01,2018-07-01,68,4
38,4,2000-01-01,2017-10-01,2018-10-01,2019-07-01,72,4
39,4,2000-01-01,2018-10-01,2019-10-01,2020-07-01,76,4
40,4,2000-01-01,2019-10-01,2020-10-01,2021-07-01,80,4
41,4,2000-01-01,2020-10-01,2021-10-01,2022-07-01,84,4
42,4,2000-01-01,2021-10-01,2022-10-01,2023-07-01,88,4
43,4,2000-01-01,2022-10-01,2023-10-01,2024-07-01,92,4
