feature,importance,importance_normalized
CO2e_per_Population,25.456197430275935,0.25456197430275945
TEC,24.352178282948717,0.24352178282948725
CO2e_lag4,11.368691456974114,0.11368691456974117
CEI,7.705254035736038,0.07705254035736041
Population,6.1750633058579325,0.06175063305857934
CO2e_lag2,4.544627717748534,0.04544627717748535
CO2e_lag3,3.987693885329608,0.039876938853296094
TEC_dlog,3.2163728383221097,0.0321637283832211
CO2e_per_TEC,3.0851978560952253,0.030851978560952262
CO2e_lag1,2.314394198960575,0.02314394198960576
HDD_proxy,1.8911858370210983,0.018911858370210987
CO2e_dlog,1.5205016540367884,0.015205016540367888
Rainfall,1.408566845156307,0.014085668451563072
Air_Temp,1.0854366593126754,0.010854366593126757
Q4,0.6539166000573869,0.006539166000573872
COVID_Deaths,0.4990148375551393,0.0049901483755513945
GDP,0.3854155992179357,0.0038541559921793584
GDP_dlog,0.27802210399223337,0.0027802210399223344
EnergyCrisis,0.04064723146482256,0.0004064723146482257
Q2,0.022417578701325613,0.0002241757870132562
COVID,0.009204045235484874,9.204045235484876e-05
CDD_proxy,0.0,0.0
Q3,0.0,0.0
