fs_option,n_features,model,weighted_mae,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,r2_h1,mae_h2,rmse_h2,mape_h2,r2_h2,mae_h4,rmse_h4,mape_h4,r2_h4,model_id,annual_mae,annual_mape,annual_bias,consistency_score
fs_wrapper,13,lstm,0.1015807200053939,0.923311008054474,0.0830586782530825,0.4682678922076047,0.0982070966585229,0.1117298233501909,0.8285188769132624,0.2394370216591125,0.138843406723498,0.1720468591854949,1.201636012795394,-0.7253867049885006,0.0541207482954151,0.0824402253829042,0.459778415060417,0.5360564492709639,fs_wrapper/lstm,22406.41187500003,6.228607851561293,5170.281041666663,0.937713921484387
fs_wrapper,13,lightgbm,0.0351734850007677,0.9734188060872072,0.0273070478467942,0.1416054352204532,0.0336625223305475,0.0499122714535823,0.2896201948623842,0.8902072466957324,0.0346784982642401,0.0510839594088761,0.2985275583771953,0.8773346317686774,0.0396933717811098,0.0579179485272071,0.3420344053501157,0.8498578515945209,fs_wrapper/lightgbm,33749.75926503214,2.68794091078252,15421.765204353687,0.9731205908921748
fs_wrapper,13,catboost,0.0298328559727213,0.971819021233813,0.0289981757410021,0.1364961805217204,0.0276242042531397,0.0451163750370271,0.2377500559220376,0.9102927789625722,0.0290934477978493,0.0463270386647188,0.2503874496687506,0.8991160810593443,0.0364635975339835,0.0558221162216041,0.3142248901682669,0.8605274060978527,fs_wrapper/catboost,28948.279293346997,2.2750434071236363,21076.500119261866,0.9772495659287636
fs_wrapper,13,ridge,0.0227466820968016,0.9846750572983476,0.0155634517073069,0.0740074455749684,0.0220359022953518,0.0306029576573048,0.1896547552151725,0.9587251209076686,0.0220048254236732,0.0294358912455187,0.1894084803847211,0.9592706720583268,0.0256364166101187,0.033467418879072,0.2209586429114032,0.9498673428907042,fs_wrapper/ridge,24387.00499261909,1.9529134265993613,20158.120603737298,0.9804708657340064
fs_wrapper,13,random_forest,0.0293309953199751,0.9772694558107397,0.0232592393572796,0.114569162682145,0.0268143245399651,0.042783665130981,0.2307776095077271,0.9193294571000216,0.0282720252387251,0.0432997716068492,0.2431826607210844,0.9118699379707152,0.0372111273918751,0.0553375322215382,0.3205867574296517,0.8629383800586122,fs_wrapper/random_forest,23010.549895019496,1.889268517961961,14817.152029647616,0.9811073148203804
fs_linear,9,lstm,0.0907730595185982,0.9353687319504488,0.0690971013268542,0.3666777356524289,0.0820628274815638,0.0968040447580471,0.6939062977742564,0.4290685526916195,0.123726467906219,0.1524236503386591,1.068088664842073,-0.35424632628157,0.0631185270297531,0.0752644959613198,0.5355452969539243,0.6133062825354968,fs_linear/lstm,19919.13791666671,5.484227830994907,7715.232083333331,0.945157721690051
fs_linear,9,lightgbm,0.0571925875951809,0.9707688033490856,0.0301113885716854,0.142735134941971,0.0538046105745872,0.0674457283229181,0.4612195876507343,0.7995214536576631,0.0553119237596112,0.0685295676072584,0.4742846360872088,0.7792458646756795,0.0684835259000196,0.0839789802313957,0.5882021152120596,0.6843415075742114,fs_linear/lightgbm,54543.03089161248,4.12829673017796,52320.28790467508,0.9587170326982204
fs_linear,9,catboost,0.0587702122373382,0.962482678591574,0.0389797367193412,0.1870497473979897,0.0536276637839499,0.0723947956887084,0.4604644177222356,0.7690203597750846,0.0572472414190798,0.0758547193894669,0.4915053045440179,0.7295306378554123,0.0739110395981965,0.0927039445161663,0.6355291382507569,0.6153438221264191,fs_linear/catboost,70498.34854058144,5.113321122833963,68732.30329622541,0.9488667887716604
fs_linear,9,ridge,0.0466436238869204,0.9730175161832572,0.0277307277289147,0.1391824850959886,0.047468847884811,0.0674076886999842,0.4070032087124944,0.7997475310658981,0.044368286632383,0.0584963252838717,0.3803959710934651,0.839154085566754,0.0479935697739998,0.0613402421639075,0.4116323599723788,0.8315902399304557,fs_linear/ridge,39581.83504168706,2.798593249030978,24023.816232160527,0.9720140675096902
fs_linear,9,random_forest,0.0550412852616953,0.9656845487126932,0.0355348455487364,0.1686676304158321,0.0516457077120536,0.0681771840692088,0.4428577511420896,0.7951494538991215,0.0538467047253876,0.0704784484223059,0.4617720326375493,0.7665114792593477,0.065322099940261,0.0829322236406486,0.5610640576732089,0.6921615206339021,fs_linear/random_forest,53246.63711018421,4.039761765417814,43802.43249305821,0.9596023823458218
