feature,coefficient,abs_coefficient
CO2e_per_Population,0.0752237181361584,0.0752237181361584
CO2e_lag1,0.06840445300463716,0.06840445300463716
TEC_dlog,0.04567221664089374,0.04567221664089374
TEC,0.023187606315250568,0.023187606315250568
CO2e_lag3,0.0178609624542004,0.0178609624542004
EnergyCrisis,-0.008985735113056986,0.008985735113056986
COVID,-0.008496991680508157,0.008496991680508157
HDD_proxy,0.00755799542394523,0.00755799542394523
Q2,-0.005932681051613231,0.005932681051613231
CO2e_dlog,0.004651689677668077,0.004651689677668077
CO2e_lag4,-0.003938125086992322,0.003938125086992322
COVID_Deaths,-0.003038712591011758,0.003038712591011758
CEI,-0.0015876735829573063,0.0015876735829573063
