v,alternative,vikor_Q,vikor_S,vikor_R,rank
0.0,ridge,0.0,-0.3125,0.0,1
0.0,random_forest,1.0,-0.18749999999999994,0.25,2
0.1,ridge,0.0,-0.3125,0.0,1
0.1,random_forest,1.0,-0.18749999999999994,0.25,2
0.2,ridge,0.0,-0.3125,0.0,1
0.2,random_forest,1.0,-0.18749999999999994,0.25,2
0.3,ridge,0.0,-0.3125,0.0,1
0.3,random_forest,1.0,-0.18749999999999994,0.25,2
0.4,ridge,0.0,-0.3125,0.0,1
0.4,random_forest,1.0,-0.18749999999999994,0.25,2
0.5,ridge,0.0,-0.3125,0.0,1
0.5,random_forest,1.0,-0.18749999999999994,0.25,2
0.6,ridge,0.0,-0.3125,0.0,1
0.6,random_forest,1.0,-0.18749999999999994,0.25,2
0.7,ridge,0.0,-0.3125,0.0,1
0.7,random_forest,1.0,-0.18749999999999994,0.25,2
0.8,ridge,0.0,-0.3125,0.0,1
0.8,random_forest,1.0,-0.18749999999999994,0.25,2
0.9,ridge,0.0,-0.3125,0.0,1
0.9,random_forest,1.0,-0.18749999999999994,0.25,2
1.0,ridge,0.0,-0.3125,0.0,1
1.0,random_forest,1.0,-0.18749999999999994,0.25,2
